"disease","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign",5.658984,3.827524,8.788062,5.3321
"COVID-19","routine",1.151471,0.75772,1.549156,1.150126
"Cholera","campaign",3.915098,1.925171,6.767608,3.798637
"HPV","campaign",456.888299,308.369826,616.758102,451.072539
"HPV","routine",573.273948,445.729995,704.651207,570.671825
"HepB","routine",140.805813,102.066425,194.851038,132.026308
"Hib","routine",149.648648,110.588548,204.44251,146.500282
"JE","campaign",4.535552,0.395212,14.15288,3.612118
"JE","routine",109.444326,19.343618,226.290452,109.672352
"Malaria","routine",203.555675,162.943865,249.434764,201.990689
"Measles","campaign",87.60099,76.148327,99.211543,87.553337
"Measles","routine",733.750895,598.179171,877.795823,733.122488
"MenA","campaign",37.274275,32.155831,42.120219,37.301073
"MenA","routine",28.551482,21.031007,37.192349,28.255033
"MenACWYX","campaign",58.843255,42.003081,75.89101,58.96271
"MenACWYX","routine",37.659095,29.197437,45.403875,37.807994
"PCV","routine",105.126861,48.432432,171.060125,103.78633
"Rota","routine",45.539826,10.887336,83.342036,45.154622
"Rubella","campaign",11.614776,3.694158,22.98414,11.091669
"Rubella","routine",22.605798,14.520252,33.099968,21.868126
"Typhoid","campaign",21.548553,10.635299,55.089452,18.446997
"Typhoid","routine",44.0048,14.406926,150.839705,33.652307
"YF","campaign",14.448113,6.990257,27.422167,13.482006
"YF","routine",249.483778,92.542387,504.48167,228.751247
