"disease","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign",0.184462,0.116868,0.28174,0.174168
"COVID-19","routine",0.01746,0.000288,0.032625,0.017699
"Cholera","campaign",0.123805,0.08197,0.349544,0.100417
"HPV","campaign",9.455088,9.06171,9.879116,9.443513
"HPV","routine",12.666061,12.258693,13.081945,12.659862
"HepB","routine",4.995405,4.466298,5.578512,4.98634
"Hib","routine",2.218388,1.813905,2.611679,2.213057
"JE","campaign",0.054789,0.016132,0.143318,0.044853
"JE","routine",0.224918,0.129188,0.384054,0.217082
"Malaria","routine",2.778622,2.155211,3.532034,2.753186
"Measles","campaign",1.299245,0.816846,1.609959,1.33639
"Measles","routine",10.913592,8.976734,12.793336,10.898192
"MenA","campaign",0.587403,0.499608,0.676752,0.589767
"MenA","routine",0.383326,0.181375,0.549151,0.398239
"MenACWYX","campaign",0.849216,0.477303,1.300971,0.831847
"MenACWYX","routine",0.621186,0.335591,0.881098,0.663169
"PCV","routine",1.532759,0.866391,2.09068,1.573964
"Rota","routine",0.798513,0.48975,1.042779,0.793834
"Rubella","campaign",0.137794,0.053687,0.301706,0.122061
"Rubella","routine",0.30195,0.184227,0.449476,0.294734
"Typhoid","campaign",0.558398,0.169417,1.329109,0.497287
"Typhoid","routine",1.040833,0.094148,3.298974,0.790786
"YF","campaign",0.376873,0.132134,0.748109,0.352888
"YF","routine",6.370247,1.687727,14.981878,5.63347
