"disease","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign",5.669144,3.885581,9.122563,5.257245
"COVID-19","routine",1.136328,0.670612,1.52833,1.145975
"Cholera","campaign",3.815213,2.99338,7.845774,3.473771
"HPV","campaign",458.685903,433.616397,485.958345,458.445894
"HPV","routine",574.226738,552.501447,598.281256,574.167182
"HepB","routine",141.944637,127.281727,157.712453,141.59692
"Hib","routine",150.369271,124.739573,176.120788,149.937626
"JE","campaign",4.402853,1.375113,11.215523,3.723207
"JE","routine",110.70356,76.419163,146.090381,109.142914
"Malaria","routine",203.043566,156.98978,259.972146,200.789008
"Measles","campaign",87.981439,58.580465,108.344199,89.920892
"Measles","routine",736.709955,604.891837,859.356121,736.803419
"MenA","campaign",37.592706,31.91204,43.114402,37.64415
"MenA","routine",20.902295,10.86476,29.462654,21.649449
"MenACWYX","campaign",58.485804,32.16914,90.217108,57.1408
"MenACWYX","routine",37.150441,20.881111,50.100646,39.571586
"PCV","routine",104.914925,61.466399,142.92682,107.081994
"Rota","routine",46.074625,25.78082,61.782969,46.034862
"Rubella","campaign",11.413359,5.996402,20.230357,10.735786
"Rubella","routine",22.471808,16.028838,28.669733,22.478356
"Typhoid","campaign",21.207723,6.549302,58.619978,17.729081
"Typhoid","routine",42.41164,9.348547,130.194351,31.252166
"YF","campaign",13.930531,4.661877,28.988029,12.851987
"YF","routine",249.932539,66.027536,587.499118,220.734537
