"disease","subregion","activity_type","Counts","lower_bound","upper_bound"
"Cholera","Central and Southern Asia","campaign",1,-4.955,-4.931
"Typhoid","Eastern and Southern Europe","routine",6,-4.93,-4.895
"Measles","Eastern and Southern Europe","campaign",1,-4.918,-4.887
"Cholera","Latin America and the Caribbean","campaign",1,-4.87,-4.839
"Typhoid","Eastern and Southern Europe","routine",1,-4.865,-4.836
"Cholera","Central and Southern Asia","campaign",1,-4.851,-4.831
"Cholera","Central and Southern Asia","campaign",1,-4.831,-4.811
"Typhoid","Eastern and Southern Europe","routine",5,-4.806,-4.777
"Cholera","Latin America and the Caribbean","campaign",1,-4.787,-4.76
"Typhoid","Eastern and Southern Europe","campaign",4,-4.765,-4.736
"Cholera","Latin America and the Caribbean","campaign",2,-4.76,-4.734
"Typhoid","Eastern and Southern Europe","routine",3,-4.747,-4.718
"Cholera","Central and Southern Asia","campaign",1,-4.731,-4.711
"Typhoid","Eastern and Southern Europe","routine",1,-4.659,-4.629
"Cholera","Latin America and the Caribbean","campaign",1,-4.656,-4.63
"JE","Eastern and South-Eastern Asia","campaign",1,-4.618,-4.59
"Typhoid","Eastern and Southern Europe","campaign",2,-4.59,-4.566
"JE","Eastern and South-Eastern Asia","campaign",3,-4.542,-4.519
"Typhoid","Eastern and Southern Europe","routine",1,-4.541,-4.511
"Cholera","Central and Southern Asia","campaign",1,-4.531,-4.511
"Cholera","Latin America and the Caribbean","campaign",1,-4.525,-4.499
"JE","Eastern and South-Eastern Asia","campaign",5,-4.519,-4.495
"JE","Oceania","campaign",4,-4.51,-4.487
"JE","Eastern and South-Eastern Asia","campaign",6,-4.495,-4.471
"Typhoid","Eastern and Southern Europe","routine",2,-4.482,-4.452
"Measles","Southern Africa","campaign",1,-4.474,-4.448
"Cholera","Central and Southern Asia","campaign",2,-4.471,-4.451
"JE","Eastern and South-Eastern Asia","campaign",10,-4.471,-4.447
"Cholera","Central and Southern Asia","campaign",2,-4.451,-4.431
"Measles","Southern Africa","campaign",1,-4.448,-4.426
"JE","Eastern and South-Eastern Asia","campaign",8,-4.447,-4.424
"JE","Oceania","campaign",3,-4.447,-4.428
"Cholera","Central and Southern Asia","campaign",2,-4.431,-4.411
"JE","Eastern and South-Eastern Asia","campaign",8,-4.424,-4.4
"JE","Oceania","campaign",5,-4.408,-4.389
"Measles","Southern Africa","campaign",2,-4.405,-4.383
"JE","Eastern and South-Eastern Asia","campaign",9,-4.4,-4.376
"JE","Oceania","campaign",3,-4.389,-4.369
"Measles","Southern Africa","campaign",2,-4.383,-4.362
"JE","Eastern and South-Eastern Asia","campaign",10,-4.376,-4.353
"JE","Oceania","campaign",8,-4.369,-4.349
"Measles","Southern Africa","campaign",1,-4.362,-4.34
"JE","Eastern and South-Eastern Asia","campaign",13,-4.353,-4.329
"Typhoid","Eastern and Southern Europe","campaign",4,-4.348,-4.324
"Measles","Southern Africa","campaign",1,-4.34,-4.319
"Typhoid","Eastern and Southern Europe","routine",2,-4.334,-4.304
"JE","Eastern and South-Eastern Asia","campaign",11,-4.329,-4.305
"Measles","Southern Africa","campaign",1,-4.319,-4.297
"JE","Oceania","campaign",3,-4.31,-4.291
"JE","Eastern and South-Eastern Asia","campaign",13,-4.305,-4.281
"Measles","Southern Africa","campaign",1,-4.297,-4.275
"JE","Oceania","campaign",3,-4.291,-4.271
"JE","Eastern and South-Eastern Asia","campaign",12,-4.281,-4.258
"Measles","Southern Africa","campaign",1,-4.275,-4.254
"Typhoid","Eastern and Southern Europe","campaign",4,-4.275,-4.251
"JE","Oceania","campaign",9,-4.271,-4.251
"JE","Eastern and South-Eastern Asia","campaign",10,-4.258,-4.234
"Measles","Southern Africa","campaign",1,-4.254,-4.232
"JE","Oceania","campaign",11,-4.251,-4.232
"Typhoid","Eastern and Southern Europe","routine",8,-4.245,-4.216
"JE","Eastern and South-Eastern Asia","campaign",14,-4.234,-4.21
"JE","Oceania","campaign",16,-4.232,-4.212
"Cholera","Latin America and the Caribbean","campaign",1,-4.212,-4.185
"JE","Oceania","campaign",21,-4.212,-4.193
"JE","Eastern and South-Eastern Asia","campaign",20,-4.21,-4.187
"Measles","Eastern and Southern Europe","campaign",2,-4.208,-4.183
"JE","Oceania","campaign",13,-4.193,-4.173
"JE","Eastern and South-Eastern Asia","campaign",16,-4.187,-4.163
"Typhoid","Eastern and Southern Europe","campaign",4,-4.178,-4.154
"JE","Oceania","campaign",14,-4.173,-4.153
"Measles","Southern Africa","campaign",2,-4.168,-4.146
"JE","Eastern and South-Eastern Asia","campaign",15,-4.163,-4.139
"Typhoid","Eastern and Southern Europe","campaign",3,-4.154,-4.13
"JE","Oceania","campaign",28,-4.153,-4.134
"Measles","Southern Africa","campaign",2,-4.146,-4.125
"JE","Eastern and South-Eastern Asia","campaign",8,-4.139,-4.115
"JE","Oceania","campaign",21,-4.134,-4.114
"JE","Eastern and South-Eastern Asia","campaign",9,-4.115,-4.092
"JE","Oceania","campaign",31,-4.114,-4.095
"Cholera","Central and Southern Asia","campaign",3,-4.111,-4.091
"Typhoid","Eastern and Southern Europe","routine",6,-4.098,-4.068
"JE","Oceania","campaign",13,-4.095,-4.075
"JE","Eastern and South-Eastern Asia","campaign",15,-4.092,-4.068
"Measles","Southern Africa","campaign",1,-4.082,-4.06
"JE","Oceania","campaign",31,-4.075,-4.055
"JE","Eastern and South-Eastern Asia","campaign",8,-4.068,-4.044
"Measles","Southern Africa","campaign",3,-4.06,-4.039
"Measles","Eastern and Southern Europe","campaign",1,-4.057,-4.032
"JE","Oceania","campaign",30,-4.055,-4.036
"JE","Eastern and South-Eastern Asia","campaign",2,-4.044,-4.021
"Measles","Southern Africa","campaign",1,-4.039,-4.017
"Typhoid","Eastern and Southern Europe","routine",4,-4.039,-4.009
"JE","Oceania","campaign",7,-4.036,-4.016
"Typhoid","Eastern and Southern Europe","campaign",1,-4.033,-4.008
"Cholera","Latin America and the Caribbean","campaign",1,-4.029,-4.002
"JE","Eastern and South-Eastern Asia","campaign",4,-4.021,-3.997
"JE","Oceania","campaign",27,-4.016,-3.997
"Cholera","Central and Southern Asia","campaign",1,-4.011,-3.991
"Typhoid","Eastern and Southern Europe","routine",3,-4.009,-3.98
"Typhoid","Eastern and Southern Europe","campaign",1,-4.008,-3.984
