"disease","mean_value","lower_95","upper_95","median_value"
"COVID-19",0.187701,0.146282,0.243444,0.185018
"Cholera",0.149292,0.084714,0.303198,0.138636
"HPV",11.222377,10.302245,12.115155,11.208743
"HepB",4.975365,3.930041,6.511112,4.910706
"Hib",2.221148,1.796176,2.75111,2.205865
"JE",0.175979,0.112976,0.25579,0.172553
"Malaria",2.793361,2.362332,3.215254,2.786094
"Measles",6.092566,5.308643,6.924715,6.087585
"MenA",0.566425,0.501625,0.630943,0.566531
"MenACWYX",0.841296,0.627418,1.076754,0.838583
"Meningitis",0.661344,0.570288,0.754439,0.660267
"PCV",1.523031,0.933592,2.189594,1.505598
"Rota",0.789743,0.370437,1.213838,0.788794
"Rubella",0.215572,0.165365,0.288824,0.211187
"Typhoid",0.700398,0.439919,1.405151,0.643291
"YF",1.876499,1.072935,2.951344,1.819462
