"disease","activity_type","mean_value","lower_95","upper_95","median_value"
"COVID-19","campaign",5.643475,3.924442,8.726612,5.341327
"COVID-19","routine",17.877359,11.981033,24.007468,17.996409
"Cholera","campaign",3.912226,1.833151,6.53641,3.818898
"HPV","campaign",460.090102,310.621949,622.379467,456.488378
"HPV","routine",570.361371,439.474686,694.903618,572.516223
"HepB","routine",141.192451,103.519912,197.837105,132.939166
"Hib","routine",151.107829,114.290878,203.300603,147.617474
"JE","campaign",4.58413,0.344086,13.680783,3.707956
"JE","routine",109.932229,20.699812,228.516592,103.795673
"Malaria","routine",203.822286,164.43182,252.687046,202.07406
"Measles","campaign",87.656067,75.144487,99.034264,87.783003
"Measles","routine",736.68002,603.504935,868.409937,735.574064
"MenA","campaign",37.39335,32.495501,42.647398,37.376001
"MenA","routine",28.604603,20.467384,37.929704,28.239883
"MenACWYX","campaign",58.779806,43.054855,76.05412,58.332352
"MenACWYX","routine",37.519703,30.083934,44.692334,37.440621
"PCV","routine",103.747855,52.676825,167.865727,102.202327
"Rota","routine",45.630489,12.151598,86.282883,44.605627
"Rubella","campaign",11.504718,3.861814,22.514584,10.941259
"Rubella","routine",22.637765,14.909968,33.138022,21.833233
"Typhoid","campaign",21.557581,10.867099,56.945803,18.157353
"Typhoid","routine",44.740608,14.549297,147.202081,34.2471
"YF","campaign",14.170938,6.967098,26.597368,13.451371
"YF","routine",253.172487,96.878217,518.300322,231.155326
